score_col,threshold,min_points,max_gap_minutes,min_precision,max_false_alarm,min_point_f1_delta,mean_point_f1_delta,min_event_f1_delta,mean_event_f1_delta,min_weak_recall_delta,mean_weak_recall_delta,passes_discovery
weak7_geom,0.1,2,90,0.023654513888888888,0.6648825708107645,-0.47294187409112093,-0.30703558656361213,-0.5710543248460337,-0.5701828851772348,0.8333333333333333,0.8333333333333333,False
weak7_geom,0.1,2,180,0.02280481235410307,0.8508852683636987,-0.4824226305609285,-0.3123313219998937,-0.5814210609445158,-0.5782845590725758,0.8333333333333334,0.875,False
weak7_geom,0.1,3,90,0.02629416598192276,0.44572984008166033,-0.45020276184861646,-0.2936044617506946,-0.5555891137286487,-0.5502156992343159,0.5,0.6666666666666666,False
weak7_geom,0.1,3,180,0.024638336347197108,0.5757060224566178,-0.46191397255227046,-0.3006626853061128,-0.5639731966890028,-0.5637793154313362,0.5,0.7083333333333333,False
weak7_geom,0.1,4,90,0.028533510285335104,0.329363729159578,-0.4288664673106297,-0.2813117902179424,-0.5395170631738395,-0.5288863206335729,0.5,0.6666666666666666,False
weak7_geom,0.1,4,180,0.02623667668761957,0.41919020074855384,-0.4417208323591303,-0.28941217617775655,-0.549689330729629,-0.5454862553341355,0.5,0.7083333333333333,False
weak7_geom,0.1,6,90,0.033501606241395136,0.20619258251105815,-0.38991579529093534,-0.25840773198715594,-0.5161555875694588,-0.49215726628169276,0.4166666666666667,0.45833333333333337,False
weak7_geom,0.1,6,180,0.0300187617260788,0.2742429397754338,-0.4053683284153855,-0.26855316095974063,-0.536314032950151,-0.5173663776388959,0.4166666666666667,0.45833333333333337,False
weak7_geom,0.15,2,90,0.07507218479307026,0.29390481491789594,-0.3266649216617433,-0.1985069661505495,-0.5174716756112105,-0.5170767126170683,0.5,0.6666666666666666,False
weak7_geom,0.15,2,180,0.06487695749440715,0.3637842814018712,-0.3426068863682127,-0.21152721353148574,-0.5358479269570423,-0.5340322410509324,0.5,0.7083333333333333,False
weak7_geom,0.15,3,90,0.10274963820549927,0.16442227407994178,-0.25576138764679873,-0.15014081510037458,-0.46848095002474033,-0.4575137039019159,0.5,0.5,False
weak7_geom,0.15,3,180,0.08603351955307263,0.20141728574792866,-0.26988874538327334,-0.16410964876980627,-0.4986908978900355,-0.4864751944602451,0.5,0.5,False
weak7_geom,0.15,4,90,0.13253012048192772,0.10173628208696398,-0.1961648862190395,-0.10979747723097835,-0.4292125662994697,-0.3978969907371176,0.4166666666666667,0.45833333333333337,False
weak7_geom,0.15,4,180,0.107981220657277,0.12249064307587613,-0.2060470324748041,-0.12354441323331199,-0.46576227390180885,-0.4289595683234535,0.4166666666666667,0.45833333333333337,False
weak7_geom,0.15,6,90,0.21978021978021978,0.054464878288980716,-0.11533765032377435,-0.04867053912113303,-0.33014135886912915,-0.2831439957175995,0.08333333333333333,0.2916666666666667,False
weak7_geom,0.15,6,180,0.1744186046511628,0.061658352779978165,-0.12068657250134102,-0.06226835721907045,-0.37514296606938624,-0.3194787914125897,0.08333333333333333,0.2916666666666667,False
weak7_geom,0.2,2,90,0.17567567567567569,0.1510629643109465,-0.18236653362542393,-0.08926563110625334,-0.4339025932953827,-0.4315575797974262,0.4166666666666667,0.45833333333333337,False
weak7_geom,0.2,2,180,0.15065502183406113,0.1767539446359374,-0.19478894072135627,-0.10105884150964516,-0.4571857250026793,-0.45701029582538016,0.5,0.5,False
weak7_geom,0.2,3,90,0.26141078838174275,0.08529405467896979,-0.10653047678749222,-0.03305864180077765,-0.35010570824524323,-0.3412373607121427,0.08333333333333333,0.2916666666666667,False
weak7_geom,0.2,3,180,0.23049645390070922,0.09351516838296689,-0.11318862382692174,-0.0407767508097487,-0.3909107047754306,-0.3707193041222553,0.08333333333333333,0.2916666666666667,False
weak7_geom,0.2,4,90,0.3583815028901734,0.05652015671497999,-0.048776385501639985,0.009445790280594807,-0.2790697674418606,-0.2617710122148811,0.08333333333333333,0.2916666666666667,False
weak7_geom,0.2,4,180,0.328125,0.06063071356697853,-0.05407973559181989,0.004035605151707103,-0.318936877076412,-0.2895204593465293,0.08333333333333333,0.2916666666666667,False
weak7_geom,0.2,6,90,0.5959595959595959,0.03185681560298872,0.018635363169479002,0.05844797544817942,-0.14563476934807484,-0.12940001772725868,0.08333333333333333,0.2916666666666667,False
weak7_geom,0.2,6,180,0.5841584158415841,0.032884454815988354,0.015920930911923592,0.05641216160133031,-0.15303825956489125,-0.13672349321796068,0.08333333333333333,0.2916666666666667,False
weak7_geom,0.25,2,90,0.3333333333333333,0.08632169389196943,-0.08983879035050601,-0.029105386090863813,-0.3347680535628885,-0.32234118712416154,0.08333333333333333,0.2916666666666667,False
weak7_geom,0.25,2,180,0.30857142857142855,0.09762572523496543,-0.10263709919089009,-0.034259081247952586,-0.3587942639742464,-0.3415357974946216,0.16666666666666669,0.33333333333333337,False
