score_col,threshold,min_points,max_gap_minutes,weather_guard,tune_min_precision,tune_max_false_alarm,tune_min_point_f1_delta,tune_mean_point_f1_delta,tune_min_event_f1_delta,tune_mean_event_f1_delta,tune_mean_weak_episode_recall_delta,all_min_precision,all_max_false_alarm,all_min_point_f1_delta,all_mean_point_f1_delta,all_min_event_f1_delta,all_mean_event_f1_delta,all_mean_weak_episode_recall_delta,passes_tune_gates,passes_all_gates
weak_consensus_min,0.25,4,90,True,0.7714285714285715,0.014794013903633439,-0.00745990302126065,-0.006399822021910528,-0.05454545454545445,-0.043445234011271705,0.0,0.7432950191570882,0.022318239036505285,-0.021081718827620444,-0.011293787623813833,-0.05454545454545445,-0.04588626701056183,0.0,False,False
weak_consensus_min,0.25,4,90,False,0.7714285714285715,0.014794013903633439,-0.00745990302126065,-0.006399822021910528,-0.05454545454545445,-0.043445234011271705,0.0,0.7348484848484849,0.022862586330078583,-0.023245207173778648,-0.012014950405866568,-0.05588206956354169,-0.047590845862028365,0.0,False,False
weak_consensus_min,0.25,4,180,True,0.7622377622377622,0.015615903564946406,-0.006661732050333047,-0.0021967391154280314,-0.07826086956521738,-0.04791377895957677,0.08333333333333333,0.7348484848484849,0.022862586330078583,-0.023245207173778648,-0.009212895134878238,-0.07826086956521738,-0.05056987582756508,0.05555555555555555,False,False
weak_consensus_min,0.25,4,180,False,0.7622377622377622,0.015615903564946406,-0.006661732050333047,-0.0021967391154280314,-0.07826086956521738,-0.04791377895957677,0.08333333333333333,0.7265917602996255,0.023406933623651885,-0.025391106183789147,-0.009928194804881737,-0.07826086956521738,-0.05224288840400445,0.05555555555555555,False,False
weak_consensus_min,0.25,6,90,True,0.7941176470588235,0.013150234581007501,-0.0020243110112879714,-0.0017660190563412725,-0.011180992313067795,-0.010508528943419138,0.0,0.7918367346938775,0.020140849862212085,-0.009236922295581484,-0.00425632013608801,-0.029310693349504646,-0.016775917078780973,0.0,False,False
weak_consensus_min,0.25,6,90,False,0.7941176470588235,0.013150234581007501,-0.0020243110112879714,-0.0017660190563412725,-0.011180992313067795,-0.010508528943419138,0.0,0.7886178861788617,0.020685197155785387,-0.009992709521998266,-0.004508249211560271,-0.034831348213391955,-0.01861613536674341,0.0,False,False
weak_consensus_min,0.25,6,180,True,0.7941176470588235,0.013150234581007501,-0.0015077271013945737,-0.00025478971656256455,-0.011180992313067795,-0.010508528943419138,0.0,0.7886178861788617,0.020685197155785387,-0.009992709521998266,-0.0035007629850411317,-0.034831348213391955,-0.01861613536674341,0.0,False,False
weak_consensus_min,0.25,6,180,False,0.7941176470588235,0.013150234581007501,-0.0015077271013945737,-0.00025478971656256455,-0.011180992313067795,-0.010508528943419138,0.0,0.7854251012145749,0.021229544449358685,-0.010746391491516905,-0.0037519903082140114,-0.04024583663758907,-0.02042096484147578,0.0,False,False
weak_consensus_min,0.35,2,90,True,0.7714285714285715,0.015615903564946406,-0.00745990302126065,-0.004406201607237481,-0.04237007613373056,-0.03086245742170396,0.0,0.7714285714285715,0.018507807981492187,-0.00745990302126065,-0.0037170099780966157,-0.04237007613373056,-0.02460149110490628,0.0,False,False
weak_consensus_min,0.35,2,90,False,0.7714285714285715,0.015615903564946406,-0.00745990302126065,-0.004406201607237481,-0.04237007613373056,-0.03086245742170396,0.0,0.7714285714285715,0.018507807981492187,-0.00745990302126065,-0.0037170099780966157,-0.04237007613373056,-0.02460149110490628,0.0,False,False
weak_consensus_min,0.35,2,180,True,0.75,0.018903462210198282,-0.003653635367190322,0.0032238290797820257,-0.05538648813146685,-0.0523309252251537,0.12499999999999999,0.75,0.020685197155785387,-0.0054260964071091156,0.00034052058415164527,-0.05538648813146685,-0.04649773288789979,0.08333333333333333,False,False
weak_consensus_min,0.35,2,180,False,0.75,0.018903462210198282,-0.003653635367190322,0.0032238290797820257,-0.05538648813146685,-0.0523309252251537,0.12499999999999999,0.75,0.020685197155785387,-0.0054260964071091156,0.00034052058415164527,-0.05538648813146685,-0.04649773288789979,0.08333333333333333,False,False
weak_consensus_min,0.35,3,90,True,0.7941176470588235,0.013150234581007501,-0.0015077271013945737,-0.0007538635506972868,-0.011180992313067795,-0.005590496156533897,0.0,0.7941176470588235,0.01796346068791889,-0.0015077271013945737,-0.0007631602695600629,-0.011180992313067795,-0.005760800649695678,0.0,False,False
weak_consensus_min,0.35,3,90,False,0.7941176470588235,0.013150234581007501,-0.0015077271013945737,-0.0007538635506972868,-0.011180992313067795,-0.005590496156533897,0.0,0.7941176470588235,0.01796346068791889,-0.0015077271013945737,-0.0007631602695600629,-0.011180992313067795,-0.005760800649695678,0.0,False,False
weak_consensus_min,0.35,3,180,True,0.7913669064748201,0.01397212424232047,0.004487658937920802,0.0067544596164417214,-0.019354838709677358,-0.007992783236240308,0.08333333333333333,0.7913669064748201,0.01796346068791889,-0.0007817537072856151,0.004242388508532609,-0.019354838709677358,-0.007362325369499952,0.05555555555555555,False,False
