ratio_threshold,recent_regularity,historical_q999_multiplier,tp,fp,fn,precision,recall,f1,false_gap_alerts_per_station_day
10.0,0.9,2.0,3,14,4,0.17647058823529413,0.42857142857142855,0.25,0.005701099497760283
12.0,0.9,1.5,3,14,4,0.17647058823529413,0.42857142857142855,0.25,0.005701099497760283
2.5,0.7,1.5,6,36,1,0.14285714285714285,0.8571428571428571,0.24489795918367344,0.014659970137097869
3.0,0.7,1.5,6,36,1,0.14285714285714285,0.8571428571428571,0.24489795918367344,0.014659970137097869
4.0,0.7,1.5,6,36,1,0.14285714285714285,0.8571428571428571,0.24489795918367344,0.014659970137097869
5.0,0.7,1.5,6,36,1,0.14285714285714285,0.8571428571428571,0.24489795918367344,0.014659970137097869
6.0,0.5,1.5,6,36,1,0.14285714285714285,0.8571428571428571,0.24489795918367344,0.014659970137097869
12.0,0.8,1.0,6,36,1,0.14285714285714285,0.8571428571428571,0.24489795918367344,0.014659970137097869
8.0,0.9,2.0,3,15,4,0.16666666666666666,0.42857142857142855,0.24,0.006108320890457446
10.0,0.9,1.5,3,15,4,0.16666666666666666,0.42857142857142855,0.24,0.006108320890457446
15.0,0.7,1.5,3,15,4,0.16666666666666666,0.42857142857142855,0.24,0.006108320890457446
20.0,0.7,1.0,3,15,4,0.16666666666666666,0.42857142857142855,0.24,0.006108320890457446
10.0,0.8,1.0,6,37,1,0.13953488372093023,0.8571428571428571,0.24,0.015067191529795033
20.0,0.8,3.0,2,8,5,0.2,0.2857142857142857,0.23529411764705882,0.0032577711415773046
15.0,0.8,1.0,3,16,4,0.15789473684210525,0.42857142857142855,0.23076923076923078,0.006515542283154609
20.0,0.5,1.5,3,16,4,0.15789473684210525,0.42857142857142855,0.23076923076923078,0.006515542283154609
40.0,0.5,0.0,3,16,4,0.15789473684210525,0.42857142857142855,0.23076923076923078,0.006515542283154609
2.5,0.5,1.5,6,39,1,0.13333333333333333,0.8571428571428571,0.23076923076923078,0.01588163431518936
3.0,0.5,1.5,6,39,1,0.13333333333333333,0.8571428571428571,0.23076923076923078,0.01588163431518936
4.0,0.5,1.5,6,39,1,0.13333333333333333,0.8571428571428571,0.23076923076923078,0.01588163431518936
5.0,0.5,1.5,6,39,1,0.13333333333333333,0.8571428571428571,0.23076923076923078,0.01588163431518936
20.0,0.7,3.0,2,9,5,0.18181818181818182,0.2857142857142857,0.2222222222222222,0.0036649925342744673
20.0,0.8,2.0,2,9,5,0.18181818181818182,0.2857142857142857,0.2222222222222222,0.0036649925342744673
8.0,0.9,1.5,3,17,4,0.15,0.42857142857142855,0.2222222222222222,0.006922763675851771
12.0,0.7,1.0,6,41,1,0.1276595744680851,0.8571428571428571,0.2222222222222222,0.016696077100583684
8.0,0.8,1.0,6,42,1,0.125,0.8571428571428571,0.21818181818181817,0.01710329849328085
10.0,0.7,1.0,6,42,1,0.125,0.8571428571428571,0.21818181818181817,0.01710329849328085
2.5,0.9,2.0,3,18,4,0.14285714285714285,0.42857142857142855,0.21428571428571427,0.0073299850685489346
3.0,0.9,2.0,3,18,4,0.14285714285714285,0.42857142857142855,0.21428571428571427,0.0073299850685489346
4.0,0.9,2.0,3,18,4,0.14285714285714285,0.42857142857142855,0.21428571428571427,0.0073299850685489346
5.0,0.9,2.0,3,18,4,0.14285714285714285,0.42857142857142855,0.21428571428571427,0.0073299850685489346
6.0,0.9,2.0,3,18,4,0.14285714285714285,0.42857142857142855,0.21428571428571427,0.0073299850685489346
15.0,0.5,1.5,3,18,4,0.14285714285714285,0.42857142857142855,0.21428571428571427,0.0073299850685489346
12.0,0.95,1.5,2,10,5,0.16666666666666666,0.2857142857142857,0.2105263157894737,0.00407221392697163
12.0,0.95,2.0,2,10,5,0.16666666666666666,0.2857142857142857,0.2105263157894737,0.00407221392697163
15.0,0.8,3.0,2,10,5,0.16666666666666666,0.2857142857142857,0.2105263157894737,0.00407221392697163
20.0,0.5,3.0,2,10,5,0.16666666666666666,0.2857142857142857,0.2105263157894737,0.00407221392697163
20.0,0.7,2.0,2,10,5,0.16666666666666666,0.2857142857142857,0.2105263157894737,0.00407221392697163
20.0,0.8,0.0,3,19,4,0.13636363636363635,0.42857142857142855,0.20689655172413793,0.007737206461246098
10.0,0.95,1.5,2,11,5,0.15384615384615385,0.2857142857142857,0.2,0.0044794353196687935
10.0,0.95,2.0,2,11,5,0.15384615384615385,0.2857142857142857,0.2,0.0044794353196687935
12.0,0.95,1.0,2,11,5,0.15384615384615385,0.2857142857142857,0.2,0.0044794353196687935
15.0,0.7,3.0,2,11,5,0.15384615384615385,0.2857142857142857,0.2,0.0044794353196687935
15.0,0.8,2.0,2,11,5,0.15384615384615385,0.2857142857142857,0.2,0.0044794353196687935
15.0,0.7,1.0,3,20,4,0.13043478260869565,0.42857142857142855,0.2,0.00814442785394326
20.0,0.5,1.0,3,20,4,0.13043478260869565,0.42857142857142855,0.2,0.00814442785394326
8.0,0.7,1.0,6,47,1,0.11320754716981132,0.8571428571428571,0.2,0.019139405456766664
12.0,0.5,1.0,6,49,1,0.10909090909090909,0.8571428571428571,0.19354838709677416,0.01995384824216099
12.0,0.8,0.0,6,49,1,0.10909090909090909,0.8571428571428571,0.19354838709677416,0.01995384824216099
8.0,0.95,2.0,2,12,5,0.14285714285714285,0.2857142857142857,0.19047619047619047,0.004886656712365957
10.0,0.95,1.0,2,12,5,0.14285714285714285,0.2857142857142857,0.19047619047619047,0.004886656712365957
12.0,0.95,0.0,2,12,5,0.14285714285714285,0.2857142857142857,0.19047619047619047,0.004886656712365957
15.0,0.5,3.0,2,12,5,0.14285714285714285,0.2857142857142857,0.19047619047619047,0.004886656712365957
15.0,0.7,2.0,2,12,5,0.14285714285714285,0.2857142857142857,0.19047619047619047,0.004886656712365957
20.0,0.5,2.0,2,12,5,0.14285714285714285,0.2857142857142857,0.19047619047619047,0.004886656712365957
10.0,0.5,1.0,6,50,1,0.10714285714285714,0.8571428571428571,0.19047619047619047,0.02036106963485815
8.0,0.95,1.5,2,13,5,0.13333333333333333,0.2857142857142857,0.18181818181818182,0.00529387810506312
10.0,0.95,0.0,2,13,5,0.13333333333333333,0.2857142857142857,0.18181818181818182,0.00529387810506312
12.0,0.9,1.0,3,23,4,0.11538461538461539,0.42857142857142855,0.18181818181818182,0.00936609203203475
15.0,0.8,0.0,3,23,4,0.11538461538461539,0.42857142857142855,0.18181818181818182,0.00936609203203475
