score_col,threshold,min_points,max_gap_minutes,min_precision,max_false_alarm,min_point_f1_delta,mean_point_f1_delta,min_event_f1_delta,mean_event_f1_delta,mean_weak_recall_delta,passes_discovery
weak6_geom,0.2,6,90,0.7986111111111112,0.016442227407994177,-0.0005193088471343588,0.010433764163137682,-0.01374207188160681,-0.005781711322067007,0.16666666666666669,False
weak6_geom,0.2,6,180,0.7986111111111112,0.016442227407994177,-0.0005193088471343588,0.010433764163137682,-0.01374207188160681,-0.005781711322067007,0.16666666666666669,False
weak6_geom,0.2,6,360,0.7986111111111112,0.016442227407994177,-0.0005193088471343588,0.010433764163137682,-0.01374207188160681,-0.005781711322067007,0.16666666666666669,False
weak6_geom,0.3,2,90,0.717391304347826,0.026718619537990537,-0.0035750766087844776,0.004211501849183147,-0.09620098039215685,-0.09042607159142729,0.16666666666666669,False
weak6_geom,0.3,2,180,0.7021276595744681,0.026718619537990537,-0.004074577108284988,0.003961751599432892,-0.09620098039215685,-0.0955241108071136,0.16666666666666669,False
weak6_geom,0.3,2,360,0.7021276595744681,0.026718619537990537,-0.004074577108284988,0.003961751599432892,-0.09620098039215685,-0.0955241108071136,0.16666666666666669,False
weak6_geom,0.3,3,90,0.8,0.017469866620993812,0.0,0.012507559513991962,-0.009269162210338688,-0.004634581105169344,0.16666666666666669,False
weak6_geom,0.3,3,180,0.8,0.017469866620993812,0.0,0.012507559513991962,-0.009269162210338688,-0.004634581105169344,0.16666666666666669,False
weak6_geom,0.3,3,360,0.8,0.017469866620993812,0.0,0.012507559513991962,-0.009269162210338688,-0.004634581105169344,0.16666666666666669,False
weak6_geom,0.3,4,90,0.8156028368794326,0.015414588194994541,0.0,0.013027054052552611,0.0,0.007029226785053688,0.16666666666666669,True
weak6_geom,0.3,4,180,0.8156028368794326,0.015414588194994541,0.0,0.013027054052552611,0.0,0.007029226785053688,0.16666666666666669,True
weak6_geom,0.3,4,360,0.8156028368794326,0.015414588194994541,0.0,0.013027054052552611,0.0,0.007029226785053688,0.16666666666666669,True
weak6_geom,0.3,6,90,0.8129496402877698,0.015414588194994541,0.0,0.009353883955994846,0.0,0.007029226785053688,0.16666666666666669,True
weak6_geom,0.3,6,180,0.8129496402877698,0.015414588194994541,0.0,0.009353883955994846,0.0,0.007029226785053688,0.16666666666666669,True
weak6_geom,0.3,6,360,0.8129496402877698,0.015414588194994541,0.0,0.009353883955994846,0.0,0.007029226785053688,0.16666666666666669,True
