station_id,station_name,state,latitude,longitude,elevation_m,wigos_id,wmo_id,icao,network_type,primary_provider,is_reference_only
A0A77A92,PANTNAGAR_AMFU,UTTARAKHAND,29.02,79.48,0.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
A0A784C4,ROORKEE_AMFU,UTTARAKHAND,29.84,77.92,75.6,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
A0A78A16,AJMER,RAJASTHAN,26.42,74.62,220.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
A0A7DA6A,CHITTAURGARH,RAJASTHAN,24.9,74.61,0.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
A0A7E122,CHURU,RAJASTHAN,28.28,75.12,108.4,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
A0A80A90,GANGANAGAR,RAJASTHAN,29.91,73.88,44.6,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
A0A8499A,MOUNT_ABU,RAJASTHAN,24.5869,72.7036,898.3,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
A0A861A4,PILANI,RAJASTHAN,28.3333,75.58,220.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
A0A88256,SIKAR,RAJASTHAN,27.58,75.13,111.7,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
A0A8A4BA,GOVINDPURA,JAMMU_AND_KASHMIR,33.2219,75.2614,153.9,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
A0A8AA68,CHATHA_AMFU,JAMMU_AND_KASHMIR,32.6533,74.7992,20.4,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
A0A8C15C,SRINAGAR_AMFU,JAMMU_AND_KASHMIR,34.1497,74.8822,1600.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
A0A8DCF8,BILASPUR,CHHATTISGARH,22.106,82.1426,179.3,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
A0A8F4C6,DHAMTARI,CHHATTISGARH,20.676,81.5481,71.4,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
A0A906B8,JAGDALPUR_AMFU,CHHATTISGARH,19.0925,81.961,380.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
A0A9086A,JANJGIR,CHHATTISGARH,22.01,82.6004,127.7,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
A0A92E86,KAWARDHA,CHHATTISGARH,22.0103,81.2204,186.9,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
A0A93DF0,MAHASAMUND,CHHATTISGARH,21.103,82.083,135.3,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
A0A94B60,RAIGARH,CHHATTISGARH,21.8897,83.4052,380.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
A0A95816,RAJNANDGAON,CHHATTISGARH,21.1007,81.0326,162.3,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
A0A96D8C,ALIRAJPUR,MADHYA_PRADESH,22.3139,74.3531,34.6,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
A0A97EFA,BETUL,MADHYA_PRADESH,21.86,77.9369,48.8,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
