fault_threshold,weather_threshold,k,n,window_minutes,enable_drift_rescue,drift_rescue_threshold,drift_min_fault_probability,weather_agreement_threshold,weather_probability_floor,recovery_points,search_stage,fault_precision,fault_recall,fault_f1,false_alerts_per_station_day,weather_f1,weather_precision,weather_recall,fault_to_weather_rate,weather_to_fault_rate,normal_to_fault_row_rate,worst_domain_fault_precision,worst_domain_fault_f1,worst_domain_false_alerts_per_station_day,worst_domain_normal_to_fault_rate,worst_domain_weather_to_fault_rate,objective,policy_eligible
0.75,0.75,2,3,720,True,10.0,0.30000000000000004,0.5,0.1,2,drift_challenge,0.06334841628959276,0.509090909090909,0.11267605633802817,0.13329040566645203,0.4615384615384615,0.3044117647058823,0.9539170506912442,0.32727272727272727,0.19815668202764977,0.019435718270162355,0.03183023872679045,0.05955334987593052,0.18853305785123967,0.028184946033840787,0.2619047619047619,-4.36025443482966,False
0.75,0.9,2,3,720,True,10.0,0.30000000000000004,0.5,0.1,2,drift_challenge,0.06334841628959276,0.509090909090909,0.11267605633802817,0.13329040566645203,0.4615384615384615,0.3044117647058823,0.9539170506912442,0.32727272727272727,0.19815668202764977,0.019435718270162355,0.03183023872679045,0.05955334987593052,0.18853305785123967,0.028184946033840787,0.2619047619047619,-4.36025443482966,False
0.75,0.35,1,2,720,True,10.0,0.30000000000000004,0.5,0.1,2,drift_challenge,0.07692307692307693,0.6545454545454545,0.1376673040152964,0.1390856406954282,0.3804347826086956,0.23675310033821872,0.967741935483871,0.4727272727272727,0.2304147465437788,0.023340477378820352,0.045112781954887216,0.08470588235294117,0.19679752066115702,0.03377009002215205,0.27380952380952384,-4.370312778206417,False
0.75,0.55,1,2,720,True,10.0,0.30000000000000004,0.5,0.1,2,drift_challenge,0.07692307692307693,0.6545454545454545,0.1376673040152964,0.1390856406954282,0.3804347826086956,0.23675310033821872,0.967741935483871,0.4727272727272727,0.2304147465437788,0.023340477378820352,0.045112781954887216,0.08470588235294117,0.19679752066115702,0.03377009002215205,0.27380952380952384,-4.370312778206417,False
0.75,0.75,1,2,720,True,10.0,0.30000000000000004,0.5,0.1,2,drift_challenge,0.07692307692307693,0.6545454545454545,0.1376673040152964,0.1390856406954282,0.3804347826086956,0.23675310033821872,0.967741935483871,0.4727272727272727,0.2304147465437788,0.023340477378820352,0.045112781954887216,0.08470588235294117,0.19679752066115702,0.03377009002215205,0.27380952380952384,-4.370312778206417,False
0.75,0.9,1,2,720,True,10.0,0.30000000000000004,0.5,0.1,2,drift_challenge,0.07692307692307693,0.6545454545454545,0.1376673040152964,0.1390856406954282,0.3804347826086956,0.23675310033821872,0.967741935483871,0.4727272727272727,0.2304147465437788,0.023340477378820352,0.045112781954887216,0.08470588235294117,0.19679752066115702,0.03377009002215205,0.27380952380952384,-4.370312778206417,False
0.75,0.35,2,4,720,False,10.0,0.30000000000000004,0.5,0.1,2,core,0.06320541760722348,0.509090909090909,0.11244979919678716,0.13361236316806183,0.48994082840236686,0.32961783439490444,0.9539170506912442,0.32727272727272727,0.19815668202764977,0.021813804644608203,0.031746031746031744,0.0594059405940594,0.1890495867768595,0.031554885233539144,0.2619047619047619,-4.379429451891695,False
0.75,0.55,2,4,720,False,10.0,0.30000000000000004,0.5,0.1,2,core,0.06320541760722348,0.509090909090909,0.11244979919678716,0.13361236316806183,0.48994082840236686,0.32961783439490444,0.9539170506912442,0.32727272727272727,0.19815668202764977,0.021813804644608203,0.031746031746031744,0.0594059405940594,0.1890495867768595,0.031554885233539144,0.2619047619047619,-4.379429451891695,False
0.75,0.75,2,4,720,False,10.0,0.30000000000000004,0.5,0.1,2,core,0.06320541760722348,0.509090909090909,0.11244979919678716,0.13361236316806183,0.48994082840236686,0.32961783439490444,0.9539170506912442,0.32727272727272727,0.19815668202764977,0.021813804644608203,0.031746031746031744,0.0594059405940594,0.1890495867768595,0.031554885233539144,0.2619047619047619,-4.379429451891695,False
0.75,0.9,2,4,720,False,10.0,0.30000000000000004,0.5,0.1,2,core,0.06320541760722348,0.509090909090909,0.11244979919678716,0.13361236316806183,0.48994082840236686,0.32961783439490444,0.9539170506912442,0.32727272727272727,0.19815668202764977,0.021813804644608203,0.031746031746031744,0.0594059405940594,0.1890495867768595,0.031554885233539144,0.2619047619047619,-4.379429451891695,False
0.75,0.35,2,4,720,True,10.0,0.30000000000000004,0.5,0.1,2,drift_challenge,0.06320541760722348,0.509090909090909,0.11244979919678716,0.13361236316806183,0.48994082840236686,0.32961783439490444,0.9539170506912442,0.32727272727272727,0.19815668202764977,0.021813804644608203,0.031746031746031744,0.0594059405940594,0.1890495867768595,0.031554885233539144,0.2619047619047619,-4.379429451891695,False
0.75,0.55,2,4,720,True,10.0,0.30000000000000004,0.5,0.1,2,drift_challenge,0.06320541760722348,0.509090909090909,0.11244979919678716,0.13361236316806183,0.48994082840236686,0.32961783439490444,0.9539170506912442,0.32727272727272727,0.19815668202764977,0.021813804644608203,0.031746031746031744,0.0594059405940594,0.1890495867768595,0.031554885233539144,0.2619047619047619,-4.379429451891695,False
0.75,0.75,2,4,720,True,10.0,0.30000000000000004,0.5,0.1,2,drift_challenge,0.06320541760722348,0.509090909090909,0.11244979919678716,0.13361236316806183,0.48994082840236686,0.32961783439490444,0.9539170506912442,0.32727272727272727,0.19815668202764977,0.021813804644608203,0.031746031746031744,0.0594059405940594,0.1890495867768595,0.031554885233539144,0.2619047619047619,-4.379429451891695,False
